"No.","Time","Source","Destination","Protocol","Length","Info"
"161","0.642705","1.4.1","host","USB","31","URB_INTERRUPT in"
"162","0.642740","host","1.4.1","USB","27","URB_INTERRUPT in"
"163","0.650731","1.4.1","host","USB","31","URB_INTERRUPT in"
"164","0.650800","host","1.4.1","USB","27","URB_INTERRUPT in"
"165","0.658734","1.4.1","host","USB","31","URB_INTERRUPT in"
"166","0.658809","host","1.4.1","USB","27","URB_INTERRUPT in"
"167","0.666710","1.4.1","host","USB","31","URB_INTERRUPT in"
"168","0.666731","host","1.4.1","USB","27","URB_INTERRUPT in"
"169","0.674708","1.4.1","host","USB","31","URB_INTERRUPT in"
"170","0.674745","host","1.4.1","USB","27","URB_INTERRUPT in"
"171","0.682702","1.4.1","host","USB","31","URB_INTERRUPT in"
"172","0.682719","host","1.4.1","USB","27","URB_INTERRUPT in"
"173","0.690750","1.4.1","host","USB","31","URB_INTERRUPT in"
"174","0.690793","host","1.4.1","USB","27","URB_INTERRUPT in"
"175","0.698762","1.4.1","host","USB","31","URB_INTERRUPT in"
"176","0.698821","host","1.4.1","USB","27","URB_INTERRUPT in"
"177","0.706703","1.4.1","host","USB","31","URB_INTERRUPT in"
"178","0.706738","host","1.4.1","USB","27","URB_INTERRUPT in"
"179","0.714706","1.4.1","host","USB","31","URB_INTERRUPT in"
"180","0.714744","host","1.4.1","USB","27","URB_INTERRUPT in"
"181","0.722787","1.4.1","host","USB","31","URB_INTERRUPT in"
"182","0.722807","host","1.4.1","USB","27","URB_INTERRUPT in"
"183","0.730809","1.4.1","host","USB","31","URB_INTERRUPT in"
"184","0.730846","host","1.4.1","USB","27","URB_INTERRUPT in"
"185","0.738724","1.4.1","host","USB","31","URB_INTERRUPT in"
"186","0.738744","host","1.4.1","USB","27","URB_INTERRUPT in"
"187","0.746807","1.4.1","host","USB","31","URB_INTERRUPT in"
"188","0.746838","host","1.4.1","USB","27","URB_INTERRUPT in"
"189","0.754780","1.4.1","host","USB","31","URB_INTERRUPT in"
"190","0.754807","host","1.4.1","USB","27","URB_INTERRUPT in"
"191","0.802774","1.4.1","host","USB","31","URB_INTERRUPT in"
"192","0.802843","host","1.4.1","USB","27","URB_INTERRUPT in"
"193","0.810781","1.4.1","host","USB","31","URB_INTERRUPT in"
"194","0.810866","host","1.4.1","USB","27","URB_INTERRUPT in"
"195","0.818806","1.4.1","host","USB","31","URB_INTERRUPT in"
"196","0.818847","host","1.4.1","USB","27","URB_INTERRUPT in"
"197","0.826791","1.4.1","host","USB","31","URB_INTERRUPT in"
"198","0.826827","host","1.4.1","USB","27","URB_INTERRUPT in"
"199","0.834832","1.4.1","host","USB","31","URB_INTERRUPT in"
"200","0.834894","host","1.4.1","USB","27","URB_INTERRUPT in"
"201","0.842824","1.4.1","host","USB","31","URB_INTERRUPT in"
"202","0.842894","host","1.4.1","USB","27","URB_INTERRUPT in"
"203","0.850788","1.4.1","host","USB","31","URB_INTERRUPT in"
"204","0.850808","host","1.4.1","USB","27","URB_INTERRUPT in"
"205","0.858706","1.4.1","host","USB","31","URB_INTERRUPT in"
"206","0.858743","host","1.4.1","USB","27","URB_INTERRUPT in"
"207","0.866735","1.4.1","host","USB","31","URB_INTERRUPT in"
"208","0.866790","host","1.4.1","USB","27","URB_INTERRUPT in"
"209","0.874740","1.4.1","host","USB","31","URB_INTERRUPT in"
"210","0.874783","host","1.4.1","USB","27","URB_INTERRUPT in"
"211","0.882811","1.4.1","host","USB","31","URB_INTERRUPT in"
"212","0.882845","host","1.4.1","USB","27","URB_INTERRUPT in"
"213","0.890704","1.4.1","host","USB","31","URB_INTERRUPT in"
"214","0.890727","host","1.4.1","USB","27","URB_INTERRUPT in"
"215","0.898809","1.4.1","host","USB","31","URB_INTERRUPT in"
"216","0.898833","host","1.4.1","USB","27","URB_INTERRUPT in"
"217","0.906713","1.4.1","host","USB","31","URB_INTERRUPT in"
"218","0.906749","host","1.4.1","USB","27","URB_INTERRUPT in"
"219","0.914707","1.4.1","host","USB","31","URB_INTERRUPT in"
"220","0.914748","host","1.4.1","USB","27","URB_INTERRUPT in"
"221","0.922705","1.4.1","host","USB","31","URB_INTERRUPT in"
"222","0.922730","host","1.4.1","USB","27","URB_INTERRUPT in"
"223","0.930706","1.4.1","host","USB","31","URB_INTERRUPT in"
"224","0.930739","host","1.4.1","USB","27","URB_INTERRUPT in"
"225","0.938734","1.4.1","host","USB","31","URB_INTERRUPT in"
"226","0.938760","host","1.4.1","USB","27","URB_INTERRUPT in"
"227","0.946753","1.4.1","host","USB","31","URB_INTERRUPT in"
"228","0.946817","host","1.4.1","USB","27","URB_INTERRUPT in"
"229","0.954802","1.4.1","host","USB","31","URB_INTERRUPT in"
"230","0.954832","host","1.4.1","USB","27","URB_INTERRUPT in"
"231","0.962784","1.4.1","host","USB","31","URB_INTERRUPT in"
"232","0.962843","host","1.4.1","USB","27","URB_INTERRUPT in"
"233","0.970806","1.4.1","host","USB","31","URB_INTERRUPT in"
"234","0.970830","host","1.4.1","USB","27","URB_INTERRUPT in"
"235","1.066804","1.4.1","host","USB","31","URB_INTERRUPT in"
"236","1.066843","host","1.4.1","USB","27","URB_INTERRUPT in"
"237","1.082803","1.4.1","host","USB","31","URB_INTERRUPT in"
"238","1.082843","host","1.4.1","USB","27","URB_INTERRUPT in"
"239","1.106803","1.4.1","host","USB","31","URB_INTERRUPT in"
"240","1.106842","host","1.4.1","USB","27","URB_INTERRUPT in"
"241","2.186728","1.4.1","host","USB","31","URB_INTERRUPT in"
"242","2.186766","host","1.4.1","USB","27","URB_INTERRUPT in"
"243","2.346808","1.4.1","host","USB","31","URB_INTERRUPT in"
"244","2.346846","host","1.4.1","USB","27","URB_INTERRUPT in"
"245","3.314937","1.5.1","host","USB","35","URB_INTERRUPT in"
"246","3.314977","host","1.5.1","USB","27","URB_INTERRUPT in"
"247","3.426836","1.5.1","host","USB","35","URB_INTERRUPT in"
"248","3.426902","host","1.5.1","USB","27","URB_INTERRUPT in"
"249","3.474933","1.5.1","host","USB","35","URB_INTERRUPT in"
"250","3.474978","host","1.5.1","USB","27","URB_INTERRUPT in"
"251","3.642861","1.5.1","host","USB","35","URB_INTERRUPT in"
"252","3.642907","host","1.5.1","USB","27","URB_INTERRUPT in"
"253","4.146930","1.5.1","host","USB","35","URB_INTERRUPT in"
"254","4.146972","host","1.5.1","USB","27","URB_INTERRUPT in"
"255","4.242932","1.5.1","host","USB","35","URB_INTERRUPT in"
"256","4.242972","host","1.5.1","USB","27","URB_INTERRUPT in"
"257","4.538926","1.5.1","host","USB","35","URB_INTERRUPT in"
"258","4.538965","host","1.5.1","USB","27","URB_INTERRUPT in"
"259","4.674934","1.5.1","host","USB","35","URB_INTERRUPT in"
"260","4.674975","host","1.5.1","USB","27","URB_INTERRUPT in"
"261","4.706868","1.5.1","host","USB","35","URB_INTERRUPT in"
"262","4.706945","host","1.5.1","USB","27","URB_INTERRUPT in"
"263","4.818982","1.5.1","host","USB","35","URB_INTERRUPT in"
"264","4.819045","host","1.5.1","USB","27","URB_INTERRUPT in"
"265","4.986856","1.5.1","host","USB","35","URB_INTERRUPT in"
